                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0985,                0.92665,                 1.2261,                0.78592,                0.76316,                0.82162,                 0.5419,                 1.1245,                0.98191,                  1.274,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1182,                0.92844,                 1.2378,                0.81432,                0.77368,                0.82064,                0.55718,                  1.071,                0.99429,                 1.2337,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1189,                0.95501,                 1.2498,                0.82484,                0.74632,                0.83246,                0.56624,                 1.1102,                 1.0165,                  1.244,               0.001307,               0.001307,               0.001307
                     38,                 1.1084,                0.91961,                 1.2424,                 0.8037,                0.73696,                0.84505,                0.59409,                 1.0492,                0.94075,                  1.213,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1018,                0.91819,                 1.2381,                0.84707,                0.75789,                0.85576,                0.59513,                 1.0892,                0.91169,                 1.2501,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0902,                0.90381,                 1.2215,                0.83389,                0.71684,                0.81887,                0.55471,                 1.1443,                 1.0658,                 1.2795,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0418,                0.87532,                 1.1947,                0.68088,                0.80105,                0.79335,                0.55206,                  1.033,                 1.0936,                 1.2128,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0842,                0.90277,                 1.2229,                0.76767,                0.76867,                0.83996,                0.58974,                 1.0378,                 1.0278,                 1.2153,               0.001208,               0.001208,               0.001208
                     43,                  1.062,                0.91239,                 1.2163,                0.86224,                0.75109,                0.85888,                0.60624,                 1.0594,                 0.9118,                 1.2126,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0501,                0.84729,                 1.2022,                0.84006,                0.75746,                0.84049,                0.59431,                 1.0438,                0.98642,                 1.2097,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0726,                0.88619,                 1.2054,                0.79513,                0.77623,                 0.8483,                0.58756,                 1.0533,                0.92913,                 1.2013,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0673,                0.87126,                 1.2155,                0.82118,                0.80526,                0.87142,                0.60378,                 1.0484,                0.88707,                  1.211,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0377,                0.83629,                 1.1878,                 0.8905,                0.76842,                0.87264,                0.62642,                0.99308,                0.85853,                 1.1657,               0.001109,               0.001109,               0.001109
